Date,Open,High,Low,Close
2019-01-01 00:00,3701.23000000,3713.00000000,3675.04000000,3693.13000000
2019-01-01 04:00,3692.32000000,3726.64000000,3685.94000000,3713.83000000
2019-01-01 08:00,3714.19000000,3732.00000000,3696.14000000,3707.54000000
2019-01-01 12:00,3707.56000000,3756.94000000,3666.01000000,3682.61000000
2019-01-01 16:00,3683.00000000,3701.68000000,3642.00000000,3696.73000000
2019-01-01 20:00,3696.71000000,3810.16000000,3675.67000000,3797.14000000
2019-01-02 00:00,3796.45000000,3810.00000000,3763.75000000,3779.98000000
2019-01-02 04:00,3780.00000000,3788.31000000,3750.45000000,3771.08000000
2019-01-02 08:00,3772.64000000,3803.68000000,3770.00000000,3787.97000000
2019-01-02 12:00,3788.81000000,3839.63000000,3778.23000000,3801.28000000
2019-01-02 16:00,3802.61000000,3865.72000000,3795.00000000,3824.98000000
2019-01-02 20:00,3824.98000000,3882.14000000,3812.34000000,3858.56000000
2019-01-03 00:00,3857.57000000,3862.74000000,3821.14000000,3841.83000000
2019-01-03 04:00,3841.83000000,3850.00000000,3805.00000000,3828.88000000
2019-01-03 08:00,3828.88000000,3832.83000000,3783.00000000,3804.00000000
2019-01-03 12:00,3803.31000000,3823.00000000,3785.32000000,3806.70000000
2019-01-03 16:00,3807.37000000,3807.75000000,3730.00000000,3756.00000000
2019-01-03 20:00,3756.00000000,3782.69000000,3752.37000000,3766.78000000
2019-01-04 00:00,3767.20000000,3787.65000000,3730.00000000,3780.04000000
2019-01-04 04:00,3780.04000000,3800.00000000,3761.94000000,3783.28000000
2019-01-04 08:00,3783.28000000,3800.00000000,3752.00000000,3757.55000000
2019-01-04 12:00,3754.05000000,3765.00000000,3703.57000000,3725.28000000
2019-01-04 16:00,3725.30000000,3754.00000000,3717.30000000,3739.53000000
2019-01-04 20:00,3739.74000000,3823.64000000,3733.46000000,3792.01000000
2019-01-05 00:00,3790.09000000,3838.70000000,3783.25000000,3815.00000000
2019-01-05 04:00,3815.35000000,3840.99000000,3780.13000000,3785.15000000
2019-01-05 08:00,3784.37000000,3812.63000000,3770.00000000,3801.26000000
2019-01-05 12:00,3801.03000000,3814.00000000,3778.01000000,3785.58000000
2019-01-05 16:00,3785.58000000,3820.00000000,3775.00000000,3810.98000000
2019-01-05 20:00,3810.89000000,3812.50000000,3751.00000000,3770.96000000
2019-01-06 00:00,3771.12000000,3792.12000000,3740.00000000,3771.15000000
2019-01-06 04:00,3771.70000000,3783.55000000,3760.00000000,3767.94000000
2019-01-06 08:00,3768.11000000,3820.82000000,3761.81000000,3814.24000000
2019-01-06 12:00,3814.23000000,3824.99000000,3785.00000000,3806.82000000
2019-01-06 16:00,3806.91000000,4027.71000000,3800.31000000,4002.46000000
2019-01-06 20:00,4001.41000000,4015.00000000,3953.53000000,3987.60000000
2019-01-07 00:00,3987.62000000,4017.90000000,3970.03000000,3992.26000000
2019-01-07 04:00,3991.69000000,4001.77000000,3980.08000000,4001.00000000
2019-01-07 08:00,4001.02000000,4015.00000000,3921.53000000,3976.76000000
2019-01-07 12:00,3976.78000000,4000.00000000,3955.02000000,3969.91000000
2019-01-07 16:00,3969.91000000,3994.98000000,3941.00000000,3988.52000000
2019-01-07 20:00,3987.71000000,3988.74000000,3951.55000000,3975.45000000
2019-01-08 00:00,3976.76000000,3989.00000000,3922.00000000,3945.61000000
2019-01-08 04:00,3944.94000000,3968.42000000,3936.26000000,3953.60000000
2019-01-08 08:00,3953.14000000,4018.00000000,3948.75000000,4001.59000000
2019-01-08 12:00,4002.32000000,4069.80000000,3981.00000000,4000.48000000
2019-01-08 16:00,4002.04000000,4007.84000000,3938.82000000,3976.12000000
2019-01-08 20:00,3976.11000000,3985.80000000,3903.00000000,3955.13000000
2019-01-09 00:00,3955.45000000,3999.89000000,3930.04000000,3981.03000000
2019-01-09 04:00,3981.98000000,4002.00000000,3978.00000000,3987.88000000
2019-01-09 08:00,3987.76000000,4006.81000000,3971.11000000,3986.44000000
2019-01-09 12:00,3985.52000000,3996.30000000,3941.00000000,3958.28000000
2019-01-09 16:00,3957.59000000,3983.66000000,3952.44000000,3978.34000000
2019-01-09 20:00,3978.98000000,3990.00000000,3955.00000000,3966.65000000
2019-01-10 00:00,3966.06000000,3993.46000000,3963.70000000,3978.94000000
2019-01-10 04:00,3978.96000000,3996.01000000,3731.01000000,3777.02000000
2019-01-10 08:00,3777.54000000,3783.32000000,3715.65000000,3739.99000000
2019-01-10 12:00,3738.01000000,3750.00000000,3707.07000000,3726.39000000
2019-01-10 16:00,3726.79000000,3726.79000000,3540.00000000,3596.12000000
2019-01-10 20:00,3596.73000000,3609.21000000,3574.64000000,3585.88000000
2019-01-11 00:00,3585.88000000,3617.04000000,3557.52000000,3583.09000000
2019-01-11 04:00,3583.05000000,3597.00000000,3546.36000000,3595.47000000
2019-01-11 08:00,3595.47000000,3635.00000000,3562.00000000,3594.00000000
2019-01-11 12:00,3593.57000000,3616.13000000,3569.16000000,3585.51000000
2019-01-11 16:00,3586.49000000,3620.24000000,3582.50000000,3606.15000000
2019-01-11 20:00,3606.36000000,3658.00000000,3465.00000000,3601.31000000
2019-01-12 00:00,3601.31000000,3618.19000000,3533.00000000,3601.15000000
2019-01-12 04:00,3600.64000000,3601.14000000,3567.31000000,3582.38000000
2019-01-12 08:00,3582.09000000,3585.71000000,3559.50000000,3571.16000000
2019-01-12 12:00,3571.89000000,3605.00000000,3530.00000000,3591.11000000
2019-01-12 16:00,3591.11000000,3600.00000000,3572.19000000,3593.74000000
2019-01-12 20:00,3592.79000000,3612.39000000,3563.01000000,3583.13000000
2019-01-13 00:00,3584.10000000,3595.00000000,3564.41000000,3593.24000000
2019-01-13 04:00,3593.27000000,3598.88000000,3575.84000000,3583.68000000
2019-01-13 08:00,3583.68000000,3590.02000000,3571.70000000,3589.38000000
2019-01-13 12:00,3589.28000000,3611.10000000,3560.26000000,3575.53000000
2019-01-13 16:00,3576.32000000,3576.33000000,3441.30000000,3465.82000000
2019-01-13 20:00,3465.03000000,3497.98000000,3454.00000000,3476.81000000
2019-01-14 00:00,3477.56000000,3499.90000000,3467.02000000,3489.45000000
2019-01-14 04:00,3489.43000000,3527.83000000,3487.52000000,3511.83000000
2019-01-14 08:00,3511.73000000,3540.00000000,3485.02000000,3488.28000000
2019-01-14 12:00,3488.80000000,3647.00000000,3487.00000000,3630.98000000
2019-01-14 16:00,3630.98000000,3671.87000000,3611.00000000,3638.08000000
2019-01-14 20:00,3638.74000000,3665.00000000,3590.00000000,3626.09000000
2019-01-15 00:00,3626.08000000,3648.42000000,3623.00000000,3629.38000000
2019-01-15 04:00,3629.38000000,3631.86000000,3610.12000000,3629.09000000
2019-01-15 08:00,3629.09000000,3630.43000000,3578.07000000,3611.39000000
2019-01-15 12:00,3612.10000000,3640.77000000,3580.00000000,3596.98000000
2019-01-15 16:00,3597.31000000,3610.73000000,3583.50000000,3604.14000000
2019-01-15 20:00,3604.14000000,3605.00000000,3516.62000000,3553.06000000
2019-01-16 00:00,3553.06000000,3575.37000000,3543.51000000,3572.50000000
2019-01-16 04:00,3572.55000000,3583.71000000,3552.25000000,3555.07000000
2019-01-16 08:00,3556.04000000,3603.96000000,3553.96000000,3589.02000000
2019-01-16 12:00,3589.08000000,3645.00000000,3574.93000000,3590.22000000
